nick,created,isProUser,type,consumedTrial,isVerified,pinUrl,pinAnchor,pinIsdefault,fullBodyPin,color,url,id,countryCode,brLevel,brDivision,streakProgress,explorerProgress,dailyChallengeProgress,progressXp,progressLevel,progressLevelxp,progressNextlevel,progressNextlevelxp,progressTitleId,progressTitleTierid,progressCompetitionmedalsBronze,progressCompetitionmedalsSilver,progressCompetitionmedalsGold,progressCompetitionmedalsPlatinum,competitiveElo_deprecated,competitiveRating_deprecated,competitiveLastratingchange_deprecated,competitiveDivisionType_deprecated,competitiveDivisionStartrating_deprecated,competitiveDivisionEndrating_deprecated,competitiveOnleaderboard_deprecated,lastNameChange,lastNickOrCountryChange,isBanned,chatBan,nameChangeAvailableAt,avatarFullbodypath,isBotUser,suspendedUntil,wallet,flair,isCreator,isAppAnonymous,rankedTeamDuelsStandardNumgamesplayed,rankedTeamDuelsStandardNumwins,rankedTeamDuelsStandardWinratio,rankedTeamDuelsNoMoveNumgamesplayed,rankedTeamDuelsNoMoveNumwins,rankedTeamDuelsNoMoveWinratio,rankedTeamDuelsNmpzNumgamesplayed,rankedTeamDuelsNmpzNumwins,rankedTeamDuelsNmpzWinratio,rankedTeamDuelsTotalNumgamesplayed,rankedTeamDuelsTotalNumwins,rankedTeamDuelsTotalWinratio,battleRoyaleDistanceNumgamesplayed,battleRoyaleDistanceAvgposition,battleRoyaleDistanceNumwins,battleRoyaleDistanceWinratio,battleRoyaleDistanceAvgguessdistance,battleRoyaleDistanceNumguesses,battleRoyaleCountryNumgamesplayed,battleRoyaleCountryAvgposition,battleRoyaleCountryNumwins,battleRoyaleCountryWinratio,battleRoyaleCountryNumguesses,battleRoyaleCountryAvgcorrectguesses,battleRoyaleMedalsMedalcountgold,battleRoyaleMedalsMedalcountsilver,battleRoyaleMedalsMedalcountbronze,competitiveCityStreaksNumgamesplayed,competitiveCityStreaksAvgposition,competitiveCityStreaksNumwins,competitiveCityStreaksWinratio,competitiveCityStreaksNumguesses,competitiveCityStreaksAvgcorrectguesses,competitiveStreaksMedalsMedalcountgold,competitiveStreaksMedalsMedalcountsilver,competitiveStreaksMedalsMedalcountbronze,duelsNumgamesplayed,duelsAvgposition,duelsNumwins,duelsWinratio,duelsAvgguessdistance,duelsNumguesses,duelsNumflawlesswins,duelsNoMoveNumgamesplayed,duelsNoMoveAvgposition,duelsNoMoveNumwins,duelsNoMoveWinratio,duelsNoMoveAvgguessdistance,duelsNoMoveNumguesses,duelsNoMoveNumflawlesswins,duelsNmpzNumgamesplayed,duelsNmpzAvgposition,duelsNmpzNumwins,duelsNmpzWinratio,duelsNmpzAvgguessdistance,duelsNmpzNumguesses,duelsNmpzNumflawlesswins,duelsTotalNumgamesplayed,duelsTotalAvgposition,duelsTotalNumwins,duelsTotalWinratio,duelsTotalAvgguessdistance,duelsTotalNumguesses,duelsTotalNumflawlesswins,duelsMedalsMedalcountgold,duelsMedalsMedalcountsilver,duelsMedalsMedalcountbronze,lifeTimeXpProgressionXp,lifeTimeXpProgressionCurrentlevelLevel,lifeTimeXpProgressionCurrentlevelXpstart,lifeTimeXpProgressionNextlevelLevel,lifeTimeXpProgressionNextlevelXpstart,lifeTimeXpProgressionCurrenttitleId,lifeTimeXpProgressionCurrenttitleTierid,lifeTimeXpProgressionCurrenttitleMinimumlevel,lifeTimeXpProgressionCurrenttitleName,totalMedalsMedalcountgold,totalMedalsMedalcountsilver,totalMedalsMedalcountbronze,teamDuelsNumgamesplayed,teamDuelsNumwins,teamDuelsWinratio,perfectRounds,divisionNumber,divisionName,rating,tier,gameModeRatingsNomoveduels,gameModeRatingsNmpzduels,divisionNumberBest,divisionPositionBest,divisionNameBest,divisionTierBest,gameModeRatingsStandardduels,positionDuelsLeaderboard,current_time
Samuel,2020-11-26,True,Unlimited,True,False,pin/ce827b90cd1101b631e19b0645f2388d.png,center-center,False,pin/4b70f7531959d2dc86f76d15af46ee2e.png,0,/user/5fbf899ce2c5930001382776,5fbf899ce2c5930001382776,Netherlands,134,50,,,0,932376,134,923200,135,942030,340,140,0,1,1,0,1164,1665,19,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/4b70f7531959d2dc86f76d15af46ee2e.png,False,,,0,False,False,0,0,0.0,20,15,0.75,1,1,1.0,21,16,0.7619048,125,3.672,26,20.8,969.07,963,949,4.409905,189,19.92,2517,67.1,0,1,0,0,0.0,0,0.0,0,0.0,0,0,0,131,1.3435115,86,65.65,592.96,1040,0,557,1.4039497,332,59.61,463.11,4761,24,34,1.5294118,16,47.06,842.18,280,1,722,1.4256244,434,60.11,632.75,6081,25,1,0,0,932376,134,923200,135,942030,340,140,130,Supreme Explorer,1,1,0,3,3,1.0,132,1,Champion,1777,Champion,1738,1738,1,18,Champion,Champion,,81,10-22-2024 18:53:28
Albanian Guy,2017-01-14,True,Pro,True,False,pin/e503412fc62e02f0ec40d4c5eb897cc8.png,center-center,False,pin/6e251f211b6a63db4bd696298ea809a4.png,0,/user/58796ade8b9ff486d81bbad5,58796ade8b9ff486d81bbad5,Canada,137,50,,,0,997556,137,980460,138,1000050,340,140,0,0,1,0,1067,1568,22,50,1100,1500,True,2022-04-08T02:54:51.8880000Z,2022-04-08T02:54:51.8880000Z,False,False,,pin/6e251f211b6a63db4bd696298ea809a4.png,False,,,0,False,False,3,2,0.6666667,608,351,0.57730263,32,17,0.53125,643,370,0.5754277,415,2.407229,155,37.35,558.85,3483,1041,2.246878,518,49.76,7312,72.58,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,1352,1.3905325,824,60.95,571.41,10760,18,1924,1.468815,1022,53.12,583.07,16799,64,58,1.5344827,27,46.55,1328.5,406,4,3334,1.4646101,1873,56.18,827.66,27965,86,1,0,0,997556,137,980460,138,1000050,340,140,130,Supreme Explorer,1,0,0,8,6,0.75,334,1,Champion,1775,Champion,,,1,58,Champion,Champion,,82,10-22-2024 18:53:28
geoAndy,2016-01-28,True,Pro,True,False,pin/6560e6f5dda4d3ab17f03a200288f1aa.png,center-center,False,pin/9c83e69bb8292528869aebb4ce223e30.png,0,/user/56a9c7f293a146dea4026459,56a9c7f293a146dea4026459,Sweden,122,50,,,0,730513,122,716230,123,732170,330,130,0,0,0,0,1014,1515,18,50,1100,1500,True,2023-07-07T04:34:33.4370000Z,2023-07-07T04:34:33.4370000Z,False,False,,pin/9c83e69bb8292528869aebb4ce223e30.png,False,,,0,False,False,3,3,1.0,91,54,0.5934066,40,24,0.6,134,81,0.6044776,35,3.0285714,11,31.43,2132.58,151,107,2.7570093,56,52.34,180,52.22,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,939,1.4195954,545,58.04,616.35,7554,29,155,1.516129,75,48.39,594.93,1375,4,1030,1.4339806,583,56.6,975.14,7871,67,2124,1.4565682,1203,56.64,728.81,16800,100,0,0,0,730513,122,716230,123,732170,330,130,120,Master Explorer Elite,0,0,0,8,6,0.75,97,1,Champion,1774,Champion,,1761,1,52,Champion,Champion,,83,10-22-2024 18:53:28
BarryTheBee,2022-07-01,True,Pro,True,False,pin/b8f1d9e1737f4646850c584324e3cda0.png,center-center,False,pin/32e4464f7f3d973a6eb19b3a26e165a9.png,0,/user/62be7867aa13616722f8dd4a,62be7867aa13616722f8dd4a,United States of America,160,50,,,0,1504838,160,1499030,161,1524950,370,170,0,0,0,0,1316,1817,12,50,1100,1500,True,2023-05-27T00:02:51.8350000Z,2023-05-27T00:02:51.8350000Z,False,False,,pin/32e4464f7f3d973a6eb19b3a26e165a9.png,False,,,0,False,False,2,1,0.5,123,74,0.60162604,77,39,0.5064935,202,114,0.56435645,17,2.8823528,8,47.06,688.22,106,18,4.5555553,4,22.22,66,75.76,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,2848,1.4557585,1550,54.42,765.65,23028,55,4146,1.3933913,2515,60.66,411.33,38619,140,2486,1.4408689,1390,55.91,702.76,20906,106,9480,1.4300061,5455,57.54,626.58,82553,301,0,0,0,1504838,160,1499030,161,1524950,370,170,160,Ultimate Explorer,0,0,0,30,27,0.9,216,1,Champion,1773,Champion,1751,1740,1,8,Champion,Champion,,84,10-22-2024 18:53:28
Trekk,2020-04-28,True,Pro,True,False,pin/ffdb3e6dfe2a9ed75534961d70a9d5ad.png,center-center,False,pin/3660de1cfaf2bef36615144216cffbb8.png,0,/user/5ea8165fd502e14cf8e55e04,5ea8165fd502e14cf8e55e04,Netherlands,171,50,,,0,1804031,171,1800620,172,1829870,380,180,1,4,5,0,1217,1718,-27,50,1100,1500,True,2024-01-07T18:46:15.5610000Z,2024-01-07T18:46:15.5610000Z,False,False,,pin/3660de1cfaf2bef36615144216cffbb8.png,False,2024-01-03T17:04:11.2550000Z,,0,False,False,26,12,0.46153846,226,144,0.63716817,54,29,0.537037,306,185,0.60457516,33,3.4242425,9,27.27,1527.8,268,259,3.3088803,76,29.34,1784,55.72,2,3,1,30,2.6,10,0.33333334,379,0.60422164,0,1,0,1600,1.3825,988,61.75,498.78,12664,51,873,1.4100802,515,58.99,473.55,7811,52,277,1.4115523,163,58.84,940.68,2116,19,2750,1.4013776,1666,60.58,637.67,22591,122,3,0,0,1804031,171,1800620,172,1829870,380,180,170,Ultimate Explorer Pro,5,4,1,26,24,0.9230769,321,1,Champion,1773,Champion,1701,1701,1,50,Champion,Champion,1703,85,10-22-2024 18:53:28
Knowledge,2020-11-04,True,Pro,True,False,pin/722b2a6b1ef9314db49ca5a996adaf3f.png,center-center,False,pin/ed9393fbfca12c2c640610b7c5e79e17.png,0,/user/5fa20214cb54e30001357d56,5fa20214cb54e30001357d56,Australia,173,50,,,0,1871380,173,1859440,174,1889320,380,180,1,5,7,0,1076,1577,-14,50,1100,1500,True,2023-04-11T11:13:02.9950000Z,2023-04-11T11:13:02.9950000Z,False,False,,pin/ed9393fbfca12c2c640610b7c5e79e17.png,False,,,0,False,False,12,5,0.41666666,92,57,0.6195652,57,35,0.61403507,161,97,0.60248446,252,3.670635,68,26.98,848.3,1915,607,4.785832,110,18.12,1324,70.47,6,4,1,2,3.0,0,0.0,44,0.6136364,0,1,0,1510,1.3145696,1035,68.54,614.91,11070,5,302,1.4337748,171,56.62,480.7,2783,9,507,1.3885602,310,61.14,773.39,4020,33,2319,1.3789682,1516,65.37,623.0,17873,47,1,0,0,1871380,173,1859440,174,1889320,380,180,170,Ultimate Explorer Pro,7,5,1,0,0,0.0,218,1,Champion,1772,Champion,1733,1655,1,55,Champion,Champion,,86,10-22-2024 18:53:28
Kratsooo,2017-09-01,True,Elite,True,True,pin/d3e17a93c7ef0727028b1fcc7f25fde4.png,center-center,False,pin/7a1cdf2d3ed5c9e44a6178da5b3d2afa.png,0,/user/59a99a3343a14357704a97a0,59a99a3343a14357704a97a0,France,182,50,,,0,2140508,182,2139880,183,2172670,390,190,2,6,34,0,1182,1683,1,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/7a1cdf2d3ed5c9e44a6178da5b3d2afa.png,False,,,3,False,False,18,15,0.8333333,48,37,0.7708333,27,15,0.5555556,93,67,0.72043014,102,2.2941177,45,44.12,811.07,831,664,3.240964,307,46.23,632,74.37,19,5,2,5,3.8,1,0.2,79,0.6835443,1,1,0,1661,1.1613486,1393,83.87,325.07,13645,65,886,1.3848759,545,61.51,405.09,8177,45,1189,1.412111,699,58.79,750.24,9534,63,3736,1.3194453,2637,70.58,493.46,31356,173,14,0,0,2140508,182,2139880,183,2172670,390,190,180,Ultimate Explorer Supreme,34,6,2,21,21,1.0,1649,1,Champion,1768,Champion,1753,1850,1,11,Champion,Champion,1748,87,10-22-2024 18:53:28
angelo,2022-01-23,True,Pro,True,True,pin/7b948c3ae6705913fd70820832bffff3.png,center-center,False,pin/aceae89e63f5afd0a48f318d586a9769.png,0,/user/61edaa9efa85ad00017053a9,61edaa9efa85ad00017053a9,Taiwan,200,50,,,0,2841859,200,2782050,200,2782050,410,200,2,0,3,0,1104,1605,12,50,1100,1500,True,2024-04-18T01:59:19.7050000Z,2024-04-18T01:59:19.7050000Z,False,False,,pin/aceae89e63f5afd0a48f318d586a9769.png,False,,,2,False,False,5,5,1.0,41,36,0.8780488,26,25,0.96153843,72,66,0.9166667,103,3.4660194,24,23.3,1249.15,1040,584,3.4143836,210,35.96,3806,58.72,0,0,2,3,1.3333334,2,0.6666667,26,0.6923077,0,0,0,534,1.2771536,386,72.28,792.76,3749,0,28,1.1428572,24,85.71,254.54,270,1,31,1.0967742,28,90.32,351.94,244,7,593,1.1722617,438,73.86,466.41,4263,8,3,0,0,2841859,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,3,0,2,1,1,1.0,1217,1,Champion,1768,Champion,1758,,1,92,Champion,Champion,,88,10-22-2024 18:53:28
𝔹𝕣𝕦𝕔𝕚𝕖,2022-02-13,True,Unlimited,False,False,pin/7fb9ea4b8b7687c91679d365a2b87e01.png,center-center,False,pin/24dd64ea17a69c46652bbd27c42f50f6.png,0,/user/62096eb196234c0001719387,62096eb196234c0001719387,China,146,50,,,0,1170039,146,1166190,147,1188160,350,150,0,0,0,0,909,1410,19,50,1100,1500,True,2024-10-16T07:43:26.0550000Z,2024-10-16T07:43:26.0550000Z,False,False,2024-11-15T07:43:26.0550000Z,pin/24dd64ea17a69c46652bbd27c42f50f6.png,False,2023-12-28T00:40:16.1960000Z,,0,False,False,1,1,1.0,73,55,0.75342464,53,43,0.8113208,127,99,0.77952754,22,1.8636364,16,72.73,237.79,180,1,1.0,1,100.0,12,83.33,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,80,1.1875,65,81.25,558.21,464,15,217,1.3087558,150,69.12,632.95,1700,11,0,0.0,0,0.0,0.0,0,0,297,0.8320853,215,72.39,397.05,2164,26,0,0,0,1170039,146,1166190,147,1188160,350,150,140,Supreme Explorer Pro,0,0,0,0,0,0.0,154,1,Champion,1766,Champion,1755,,1,83,Champion,Champion,,89,10-22-2024 18:53:28
Orlando,2022-08-01,True,Elite,True,True,pin/be60665e1d0e2df2eb3af9e96afceadf.png,center-center,False,pin/221ca6f556ee5305ff516c6a0c293da0.png,0,/user/62e7c8236d3aa806160f0f87,62e7c8236d3aa806160f0f87,Brazil,149,50,,,0,1234834,149,1232910,150,1255700,350,150,0,0,0,0,1271,1772,12,50,1100,1500,True,2023-05-10T21:07:02.8900000Z,2023-05-10T21:07:02.8900000Z,False,False,,pin/221ca6f556ee5305ff516c6a0c293da0.png,False,,,7,True,False,5,2,0.4,107,77,0.7196262,44,26,0.59090906,156,105,0.6730769,114,3.7982457,32,28.07,1230.73,924,150,4.2933335,35,23.33,1003,55.33,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,672,1.4107143,396,58.93,746.46,5095,2,236,1.2881356,168,71.19,364.74,2054,17,0,0.0,0,0.0,0.0,0,0,908,0.89961666,564,62.11,370.4,7149,19,0,0,0,1234834,149,1232910,150,1255700,350,150,140,Supreme Explorer Pro,0,0,0,61,56,0.91803277,327,1,Champion,1764,Champion,,,1,5,Champion,Champion,,90,10-22-2024 18:53:28
Adams,2022-08-08,True,Unlimited,True,False,pin/473ba22a216de9315d9ba723783ee3cb.png,center-center,False,pin/b0f58d2e47e289f5a920b470ca698645.png,0,/user/62f0c9a9822a3f816d659d84,62f0c9a9822a3f816d659d84,Poland,200,50,,,0,3220000,200,2782050,200,2782050,410,200,0,1,5,0,1358,1859,-20,50,1100,1500,True,2022-08-08T08:34:22.6920000Z,2022-08-08T08:34:22.6920000Z,False,False,,pin/b0f58d2e47e289f5a920b470ca698645.png,False,,,0,False,False,96,60,0.625,142,93,0.6549296,65,37,0.5692308,303,190,0.6270627,43,3.6511629,13,30.23,562.91,346,52,2.5576923,25,48.08,316,75.32,1,0,0,3,2.0,1,0.33333334,45,0.6888889,1,1,0,654,1.3455658,428,65.44,595.9,5650,16,442,1.3461539,289,65.38,373.98,4124,17,336,1.3779762,209,62.2,598.81,2957,11,1432,1.3565654,926,64.66,522.9,12731,44,3,0,0,3220000,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,5,1,0,16,15,0.9375,839,1,Champion,1764,Champion,1787,1738,1,15,Champion,Champion,,91,10-22-2024 18:53:28
m4tt,2022-10-08,True,Pro,True,False,pin/3f3bb765c416333c7b1d9a02bd177744.png,center-center,False,pin/cff1a1f04fe31be970b1f38fb79ffe86.png,0,/user/6341abd27b3571b05cfccf40,6341abd27b3571b05cfccf40,United States of America,129,50,,,0,841901,129,832750,130,850350,330,130,0,0,0,0,1119,1620,14,50,1100,1500,True,2024-07-18T01:45:21.6560000Z,2024-07-18T01:45:21.6560000Z,False,False,,pin/cff1a1f04fe31be970b1f38fb79ffe86.png,False,,,0,False,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,2.0,3,75.0,1046.3,35,2,3.0,1,50.0,10,90.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,27,1.2592592,20,74.07,1562.65,110,9,787,1.476493,412,52.35,765.48,6333,31,261,1.5095786,128,49.04,1521.67,1758,17,1075,1.4151102,560,52.09,1283.26,8201,57,0,0,0,841901,129,832750,130,850350,330,130,120,Master Explorer Elite,0,0,0,54,42,0.7777778,178,1,Champion,1763,Champion,1743,,1,82,Champion,Champion,,92,10-22-2024 18:53:28
koekemonster,2021-02-18,True,Unlimited,True,False,pin/b6109874409efb3a65731b3667e7ab29.png,center-center,False,pin/c7d35c4104fa83c94047386c3ea37c05.png,0,/user/602ea9c05fa0b100010db2b3,602ea9c05fa0b100010db2b3,Belgium,185,50,,,0,2244411,185,2239240,186,2273020,390,190,0,0,0,0,1107,1608,19,50,1100,1500,True,2022-08-10T20:18:01.6500000Z,2022-08-10T20:18:01.6500000Z,False,False,,pin/c7d35c4104fa83c94047386c3ea37c05.png,False,,,0,False,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,24,3.0833333,8,33.33,1277.71,175,5,2.8,1,20.0,22,68.18,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,544,1.4430147,303,55.7,960.63,4336,3,85,1.4235294,49,57.65,582.46,712,4,4403,1.4494662,2424,55.05,833.77,35295,197,5032,1.4386702,2776,55.17,792.28,40343,204,0,0,0,2244411,185,2239240,186,2273020,390,190,180,Ultimate Explorer Supreme,0,0,0,34,27,0.7941176,372,1,Champion,1763,Champion,,1733,1,49,Champion,Champion,,93,10-22-2024 18:53:28
Zen,2021-12-11,True,Pro,True,False,pin/57d17d4b503469a73e6e0cdd4615c4b7.png,center-center,False,pin/32c8bae2f122a9d6418a690b7587c246.png,0,/user/61b4fd26ef496e000184b806,61b4fd26ef496e000184b806,Sweden,154,50,,,0,1350099,154,1349620,155,1373800,360,160,1,0,0,0,1209,1710,-19,50,1100,1500,True,2022-09-09T07:59:46.2950000Z,2022-09-09T07:59:46.2950000Z,False,False,,pin/32c8bae2f122a9d6418a690b7587c246.png,False,,,0,False,False,4,2,0.5,54,28,0.5185185,49,25,0.5102041,107,55,0.5140187,51,2.9215686,19,37.25,1393.01,378,15,4.733333,1,6.67,58,53.45,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0,204,1.3431373,134,65.69,1206.64,1327,3,91,1.2197802,71,78.02,771.9,678,10,225,1.3955555,136,60.44,1015.13,1609,12,520,1.319491,341,65.58,997.89,3614,25,0,0,0,1350099,154,1349620,155,1373800,360,160,150,Supreme Explorer Elite,0,0,1,376,349,0.9281915,728,1,Champion,1762,Champion,,,1,49,Champion,Champion,,94,10-22-2024 18:53:28
吃了睡睡了吃,2023-08-14,True,Unlimited,False,False,pin/de0c8d683498110319e7aa82e8759c41.png,center-center,False,pin/e0c55255cbaf2df7405057e7bd259875.png,0,/user/64d979fb2e69ae1b40356325,64d979fb2e69ae1b40356325,China,78,50,,,0,216668,78,215010,79,222520,240,80,0,0,0,0,1028,1529,11,50,1100,1500,True,2023-08-25T09:19:57.8270000Z,2023-08-25T09:19:57.8270000Z,False,False,,pin/e0c55255cbaf2df7405057e7bd259875.png,False,,,0,False,False,1,0,0.0,140,76,0.54285717,85,42,0.49411765,226,118,0.5221239,7,3.0,3,42.86,353.45,32,7,3.2857144,3,42.86,21,71.43,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,261,1.4137931,153,58.62,697.28,1895,21,290,1.4310344,165,56.9,577.62,2385,11,714,1.4565827,388,54.34,1047.71,5323,35,1265,1.4338034,706,55.81,774.2,9603,67,0,0,0,216668,78,215010,79,222520,240,80,77,Master Trailblazer,0,0,0,47,43,0.9148936,45,1,Champion,1756,Champion,,1735,1,49,Champion,Champion,,95,10-22-2024 18:53:28
OceanMan,2020-04-17,True,Pro,True,True,pin/dd3ad7aeb9e09ad0cbbbf952e3981078.png,center-center,False,pin/b22aa4876866359de105881150278a85.png,0,/user/5e9a08cdd502e121002b5279,5e9a08cdd502e121002b5279,United States of America,192,50,,,0,2490975,192,2482850,193,2519020,400,200,0,0,2,0,1103,1604,13,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/b22aa4876866359de105881150278a85.png,False,,,2,False,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,22,1.7727273,14,63.64,192.69,172,275,3.2363636,123,44.73,529,81.85,2,0,0,1,4.0,0,0.0,19,0.8947368,0,0,0,625,1.2864,446,71.36,306.54,5346,33,931,1.4017186,557,59.83,462.32,8158,45,49,1.3265306,33,67.35,806.97,352,4,1605,1.3382163,1036,64.55,525.28,13856,82,0,0,0,2490975,192,2482850,193,2519020,400,200,190,Ultimate Explorer Elite,2,0,0,2,2,1.0,603,1,Champion,1754,Champion,1739,,1,3,Champion,Champion,,96,10-22-2024 18:53:28
Thenderson,2020-10-20,True,Elite,True,False,pin/839459de1cba293384779a92b5326942.png,center-center,False,pin/84932223d0e3bf5bde8a3dcbc7a922eb.png,0,/user/5f8e3fe91e120800015d47f7,5f8e3fe91e120800015d47f7,Canada,144,50,,,0,1139112,144,1123060,145,1144490,350,150,19,42,178,0,1138,1639,14,50,1100,1500,True,2023-11-08T08:27:34.5020000Z,2023-11-08T08:27:34.5020000Z,False,False,,pin/84932223d0e3bf5bde8a3dcbc7a922eb.png,False,,,1,False,False,4,2,0.5,392,225,0.5739796,57,22,0.3859649,453,249,0.54966885,500,3.742,111,22.2,1573.23,2922,1617,4.6060605,259,16.02,3280,58.48,116,38,18,24,2.625,7,0.29166666,324,0.66358024,5,4,1,2461,1.4798862,1280,52.01,812.89,18619,34,719,1.4450626,399,55.49,584.51,6286,17,42,1.5,21,50.0,1481.84,299,1,3222,1.4749829,1700,52.76,959.74,25204,52,57,0,0,1139112,144,1123060,145,1144490,350,150,140,Supreme Explorer Pro,178,42,19,731,662,0.9056088,971,1,Champion,1752,Champion,1722,,1,59,Champion,Champion,,97,10-22-2024 18:53:28
Denysoul10,2018-08-29,True,Pro,True,False,pin/a7e2c92f0bcc198e466571c3c21ee967.png,center-center,False,pin/8d8bba4cc4489ce7dd847f80de9ad43e.png,0,/user/5b86635d4ee03584bc726c12,5b86635d4ee03584bc726c12,Belgium,141,50,,,0,1074438,141,1060380,142,1081010,350,150,5,13,38,0,1196,1697,13,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/8d8bba4cc4489ce7dd847f80de9ad43e.png,False,,,0,False,False,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,272,3.0330882,128,47.06,603.6,1560,1097,2.7547858,576,52.51,3110,79.9,32,10,4,14,2.142857,4,0.2857143,183,0.84153,3,3,1,381,1.144357,326,85.56,255.35,3002,9,86,1.2093023,68,79.07,256.42,760,9,3,1.0,3,100.0,249.64,25,1,470,1.1178864,397,84.47,253.81,3787,19,3,0,0,1074438,141,1060380,142,1081010,350,150,140,Supreme Explorer Pro,38,13,5,0,0,0.0,500,1,Champion,1752,Champion,,,1,45,Champion,Champion,,98,10-22-2024 18:53:28
greguiz,2021-05-27,True,Unlimited,True,False,pin/1fa741cbeb5c58ce233e1491e8636002.png,center-center,False,pin/9e49fc87d096e31288e9aad7c398dd48.png,0,/user/60af1407ce6bd2000128aaba,60af1407ce6bd2000128aaba,Brazil,160,50,,,0,1518298,160,1499030,161,1524950,370,170,0,0,1,0,1212,1713,20,50,1100,1500,True,2024-04-17T18:58:43.5620000Z,2024-04-17T18:58:43.5620000Z,False,False,,pin/9e49fc87d096e31288e9aad7c398dd48.png,False,,,0,False,False,0,0,0.0,328,184,0.5609756,190,104,0.5473684,518,288,0.55598456,33,3.2121212,8,24.24,1195.88,293,122,3.5655737,32,26.23,764,54.58,0,0,0,2,3.5,0,0.0,7,0.71428573,0,0,0,536,1.3824627,331,61.75,750.52,3948,10,281,1.4021353,168,59.79,484.94,2418,12,340,1.3882353,208,61.18,772.78,2578,25,1157,1.3909445,707,61.11,669.41,8944,47,1,0,0,1518298,160,1499030,161,1524950,370,170,160,Ultimate Explorer,1,0,0,27,18,0.6666667,319,1,Champion,1748,Champion,1673,1722,1,52,Champion,Champion,,99,10-22-2024 18:53:28
GeoToso,2021-02-21,True,Elite,True,False,pin/f5fecb749eee460c868ed51e8ac10c33.png,center-center,False,pin/ede5e4e466f3f06781f7a66f0779992a.png,0,/user/60326bdadb1db50001185d1b,60326bdadb1db50001185d1b,Italy,132,50,,,0,887416,132,886280,133,904620,340,140,5,5,90,0,421,922,-7,40,850,1100,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/ede5e4e466f3f06781f7a66f0779992a.png,False,,,1,False,False,0,0,0.0,1,1,1.0,0,0,0.0,1,1,1.0,161,2.3540373,101,62.73,445.71,1130,1642,3.3465285,748,45.55,5627,91.11,51,5,5,28,1.6785715,23,0.8214286,369,0.91598916,17,0,0,313,1.1086262,279,89.14,862.01,1495,1,5,1.8,1,20.0,1276.7,36,0,107,1.2242991,83,77.57,513.02,768,8,425,1.3776418,363,85.41,883.91,2299,9,22,0,0,887416,132,886280,133,904620,340,140,130,Supreme Explorer,90,5,5,0,0,0.0,89,1,Champion,1747,Champion,,1751,1,31,Champion,Champion,,100,10-22-2024 18:53:28
